id,latitude_deg,longitude_deg,local_code
6653,40.06230164,-86.21050262,02II
6654,40.20890045,-85.540802,02IN
6655,42.27460098,-87.95729828,02IS
6656,39.22219849,-96.05529785,02KS
327110,38.181441,-83.443319,02KT
6657,38.1833992,-84.89990234,02KY
6658,32.53129959,-93.66020203,02LA
6659,30.14830017,-91.91899872,02LS
6660,41.41960144,-70.92700195,02MA
322099,38.672544,-76.709739,02MD
6661,43.5373,-70.929397,02ME
6662,43.15710068,-85.14849854,02MI
6663,48.68330002,-96.19200134,02MN
6664,39.04999924,-91.03350067,02MO
6665,34.10010147,-90.84680176,02MS
6666,47.2374,-111.74304,
6667,36.654233,-93.797418,
45686,35.541111,-80.597778,02NC
6668,41.07450104,-96.90450287,02NE
6669,44.65710068,-71.21910095,02NH
6670,40.55730057,-74.46710205,02NJ
6671,41.30329895,-118.5979996,02NV
6672,43.13259888,-75.65550232,02NY
6673,41.37639999,-83.08329773,02OH
6674,41.80199814,-80.56539917,02OI
6675,35.458401,-97.525297,02OK
6676,45.68149948,-121.3160019,02OR
6677,40.403596,-77.556602,02P
6678,40.43830109,-79.76999664,02PA
6679,40.06959915,-75.4552002,02PN
6680,18.45330048,-66.36689758,02PR
6681,41.90060043,-77.2303009,02PS
6682,32.75849915,-81.22480011,02SC
6683,45.76910019,-112.9820023,02T
6684,28.72139931,-95.87380219,02TA
6685,32.395401,-96.86419678,02TE
6686,35.7806015,-86.584198,02TN
6687,32.747601,-97.370003,
6688,33.37040329,-101.9228821,02TX
6689,41.36629868,-113.8430023,02UT
6690,38.43569946,-77.85720062,02VA
6691,36.63880157,-82.11669922,02VG
6692,47.15230179,-122.0940018,02WA
6693,45.0318985,-92.65579987,02WI
6694,48.74580002,-119.3190002,02WN
330393,33.591319,-95.882864,02XA
6695,30.14769936,-97.66280365,02XS
325508,61.556055,-149.284527,03AA
6696,60.72722244,-151.132782,03AK
6697,34.662604,-86.046774,03AL
6698,34.35760117,-92.78849792,03AR
6699,31.4333992,-110.0839996,03AZ
6700,32.779484,-117.006952,03CA
6701,40.21250153,-104.7440033,03CO
6702,27.35309982,-81.40809631,03FA
6703,30.8288,-85.731003,
6704,26.68370056,-80.18730164,03FL
322717,32.5623056,-81.8576944,03GA
6705,39.644199,-83.018204,
6706,41.58190155,-92.46130371,03IA
6707,44.79430008,-116.5329971,03ID
6708,37.9620018,-87.77890015,03II
6709,41.40230179,-87.8167038,03IL
6710,40.18000031,-86.01249695,03IN
6711,38.904999,-90.173401,03IS
6712,39.86470032,-95.26409912,03KS
6713,37.79169846,-87.54139709,03KY
6714,30.19960022,-91.12789917,03LA
6715,32.1590004,-91.70800018,03LS
6716,44.32089996,-69.88950348,03M
6717,42.39310074,-72.55200195,03MA
6718,39.52249908,-76.3266983,03MD
6719,44.08420181,-70.62729645,03ME
6720,43.55089951,-83.86219788,03MI
6721,43.62519836,-95.22470093,03MN
6722,37.884499,-93.131599,
6723,32.31880188,-90.8832016,03MS
6724,47.267327,-111.71748,3MT7
6725,38.49250031,-94.41249847,03MU
4650,11.222,169.852005,03N
6726,34.10430145,-77.90419769,03NC
6727,48.62639999,-97.82900238,03ND
6728,41.54639816,-99.33119965,03NE
6729,42.81539917,-71.12439728,03NH
6730,40.66870117,-74.41069794,03NJ
6731,40.58440018,-115.2979965,03NV
6732,40.95840073,-72.71679688,03NY
6733,41.41839981,-83.01740265,03OH
6734,41.42089844,-81.59980011,03OI
6735,36.04119873,-96.16139984,03OK
6736,45.85540009,-117.4840012,03OR
6737,40.16289902,-75.46569824,03PA
6738,41.066861,-76.180806,03PN
322892,39.065947,-94.921703,03PR
6739,40.849998,-77.905602,
6740,45.40179825,-122.2289963,03S
6741,33.86500168,-78.66190338,03SC
6742,30.262699,-96.500198,
6743,27.49110031,-98.66950226,03TE
6744,35.92250061,-83.57939911,03TN
6745,31.4598999,-100.4380035,03TS
6746,29.58160019,-95.30719757,03TX
6747,37.12080002,-109.9860001,03UT
6748,38.66460037,-77.57969666,03VA
6749,47.40819931,-117.3720016,03WA
6750,44.028873,-88.883945,03WI
6751,45.875,-120.6699982,03WN
6752,31.31809998,-100.7539978,03XS
325443,60.535833,-150.811387,04AA
